CustomerID,Frequency,Monetary,Quantity,UniqueProducts,AvgOrderValue
12346.0,1,77183.6,74215.0,1,77183.6
12347.0,3,1823.43,1117.0,63,607.81
12348.0,3,1487.24,2124.0,22,495.74666666666667
12350.0,1,334.4,197.0,17,334.4
12352.0,5,1561.81,254.0,26,312.36199999999997
12353.0,1,89.0,20.0,4,89.0
12354.0,1,1079.4,530.0,58,1079.4
12355.0,1,459.4,240.0,13,459.4
12356.0,2,2753.08,1586.0,53,1376.54
12359.0,3,3495.73,965.0,135,1165.243333333333
12360.0,1,1083.58,434.0,45,1083.58
12361.0,1,189.9,91.0,10,189.9
12362.0,2,974.34,504.0,52,487.17
12363.0,1,299.1,282.0,16,299.1
12365.0,2,641.38,174.0,22,320.69
12370.0,3,2806.41,1973.0,125,935.4699999999999
12372.0,2,914.9200000000001,592.0,32,457.46000000000004
12373.0,1,364.6,197.0,14,364.6
12377.0,2,1628.12,944.0,72,814.06
12383.0,4,1751.11,1512.0,82,437.7775
12386.0,2,401.9,354.0,10,200.95
12388.0,3,766.25,331.0,23,255.41666666666666
12393.0,3,1061.1000000000001,522.0,33,353.7
12394.0,1,381.08,182.0,21,381.08
12395.0,6,1569.72,1491.0,59,261.62
12399.0,2,768.95,858.0,33,384.475
12401.0,1,84.3,11.0,5,84.3
12402.0,1,225.6,94.0,11,225.6
12407.0,2,495.96,419.0,23,247.98000000000002
12408.0,2,837.59,356.0,36,418.795
12410.0,2,693.3299999999999,211.0,26,346.66499999999996
12413.0,2,563.9,205.0,25,281.95
12414.0,3,562.41,300.0,16,187.47
12415.0,7,50883.9,31999.0,217,7269.128571428571
12417.0,4,1461.08,561.0,65,365.27
12421.0,1,157.45,104.0,11,157.45
12422.0,1,238.5,113.0,13,238.5
12423.0,6,1451.69,987.0,79,241.94833333333335
12426.0,1,582.73,258.0,30,582.73
12427.0,1,303.5,79.0,10,303.5
12428.0,6,6310.54,2773.0,228,1051.7566666666667
12429.0,2,1719.48,652.0,39,859.74
12431.0,7,3158.53,1274.0,107,451.21857142857147
12433.0,2,3787.12,3582.0,79,1893.56
12434.0,1,286.25,77.0,16,286.25
12435.0,1,3978.9900000000002,879.0,19,3978.9900000000002
12437.0,8,1975.09,1284.0,50,246.88625
12441.0,1,173.55,121.0,11,173.55
12447.0,1,476.49,190.0,26,476.49
12451.0,2,5307.82,4105.0,162,2653.91
12455.0,3,1963.3,1630.0,54,654.4333333333334
12456.0,1,940.1700000000001,445.0,41,940.1700000000001
12457.0,3,1067.25,397.0,23,355.75
12458.0,1,441.92,270.0,19,441.92
12462.0,1,762.11,287.0,40,762.11
12463.0,2,647.95,357.0,32,323.975
12464.0,4,544.8499999999999,54.0,6,136.21249999999998
12468.0,2,729.5400000000001,366.0,36,364.77000000000004
12471.0,13,8397.32,3049.0,82,645.9476923076923
12472.0,3,3048.84,1825.0,116,1016.2800000000001
12473.0,1,672.1899999999999,557.0,34,672.1899999999999
12474.0,8,2719.13,1662.0,117,339.89125
12476.0,5,2445.1,828.0,71,489.02
12477.0,2,4576.97,1367.0,97,2288.485
12480.0,2,1587.27,762.0,67,793.635
12481.0,7,3100.55,1944.0,104,442.9357142857143
12483.0,4,994.6600000000001,441.0,24,248.665
12484.0,1,1138.67,630.0,98,1138.67
12489.0,1,334.93,105.0,15,334.93
12490.0,2,1195.72,712.0,51,597.86
12493.0,1,232.5,88.0,12,232.5
12494.0,4,715.64,285.0,34,178.91000000000003
12500.0,4,1210.2,908.0,9,302.55
12501.0,1,2169.39,1783.0,149,2169.39
12502.0,3,1842.65,434.0,61,614.2166666666667
12506.0,1,73.5,23.0,23,73.5
12507.0,1,446.16,219.0,13,446.16
12509.0,1,176.5,55.0,7,176.5
12510.0,1,681.05,294.0,29,681.05
12514.0,1,1017.68,440.0,51,1017.68
12515.0,1,383.7,131.0,16,383.7
12517.0,1,766.95,420.0,125,766.95
12520.0,3,1697.56,945.0,94,565.8533333333334
12523.0,4,500.19,271.0,30,125.0475
12524.0,5,2833.38,2123.0,83,566.6759999999999
12527.0,2,284.92,221.0,15,142.46
12528.0,2,771.66,358.0,38,385.83000000000004
12530.0,2,805.0,327.0,25,402.5
12539.0,3,4517.69,1621.0,125,1505.8966666666665
12540.0,6,6144.53,2835.0,125,1024.0883333333334
12541.0,1,312.4,288.0,17,312.4
12545.0,1,628.15,346.0,34,628.15
12547.0,2,207.79999999999998,134.0,7,103.9
12551.0,1,168.0,100.0,10,168.0
12553.0,5,1734.62,978.0,73,346.924
12557.0,3,4854.62,1958.0,9,1618.206666666667
12559.0,2,561.71,283.0,21,280.855
12561.0,1,238.85,177.0,16,238.85
12562.0,1,444.96000000000004,183.0,21,444.96000000000004
12564.0,1,456.9,133.0,21,456.9
12565.0,1,145.92,80.0,9,145.92
12567.0,4,3884.32,1629.0,163,971.08
12569.0,5,1164.32,492.0,29,232.86400000000003
12573.0,1,160.54000000000002,84.0,26,160.54000000000002
12574.0,1,218.45,61.0,11,218.45
12576.0,2,421.65,315.0,30,210.82500000000002
12577.0,1,195.89,134.0,67,195.89
12578.0,1,1608.66,748.0,70,1608.66
12580.0,1,415.7,238.0,24,415.7
12582.0,2,511.36,300.0,21,255.68
12583.0,5,3042.39,2025.0,62,608.478
12584.0,1,463.63,84.0,18,463.63
12585.0,2,2040.1,1279.0,77,1020.05
12590.0,2,9864.26,4283.0,68,4932.13
12591.0,1,452.84999999999997,228.0,26,452.84999999999997
12592.0,1,231.8,165.0,9,231.8
12593.0,1,236.0,100.0,11,236.0
12594.0,6,1764.99,895.0,40,294.165
12596.0,1,269.95,156.0,15,269.95
12597.0,1,516.15,230.0,30,516.15
12598.0,3,1285.74,686.0,40,428.58
12599.0,3,463.86,428.0,22,154.62
12600.0,6,1315.96,336.0,16,219.32666666666668
12601.0,5,577.0600000000001,245.0,21,115.41199999999999
12604.0,1,178.5,137.0,10,178.5
12609.0,1,287.93,223.0,16,287.93
12613.0,4,1462.52,759.0,65,365.63
12614.0,1,315.6,76.0,20,315.6
12616.0,1,255.6,98.0,11,255.6
12619.0,2,631.66,512.0,11,315.83
12620.0,1,561.66,434.0,33,561.66
12621.0,10,7355.82,3818.0,151,735.582
12622.0,1,180.1,69.0,11,180.1
12623.0,1,305.1,191.0,18,305.1
12625.0,2,2683.82,1612.0,73,1341.9099999999999
12626.0,2,1274.1,460.0,57,637.05
12633.0,2,1729.55,931.0,61,864.7750000000001
12637.0,4,2391.75,1085.0,120,597.9375
12639.0,1,486.1,201.0,22,486.1
12643.0,3,1411.9199999999998,894.0,9,470.64000000000004
12645.0,2,798.9,475.0,33,399.45
12647.0,7,2302.31,762.0,51,328.90142857142854
12649.0,1,375.0,204.0,17,375.0
12651.0,1,114.0,78.0,9,114.0
12652.0,1,919.98,505.0,48,919.98
12653.0,1,779.1,286.0,16,779.1
12654.0,3,337.75,151.0,19,112.58333333333333
12656.0,2,1659.6,673.0,24,829.8
12662.0,4,1344.4,738.0,59,336.1
12664.0,2,1303.5800000000002,317.0,5,651.79
12665.0,1,63.0,37.0,3,63.0
12668.0,3,2924.4700000000003,1334.0,104,974.8233333333333
12669.0,2,2272.6,849.0,70,1136.3
12670.0,2,1026.3899999999999,488.0,28,513.1949999999999
12672.0,1,225.89999999999998,78.0,10,225.89999999999998
12673.0,1,220.9,171.0,23,220.9
12674.0,1,586.74,222.0,17,586.74
12676.0,3,828.95,411.0,19,276.31666666666666
12678.0,5,3951.84,2512.0,51,790.368
12679.0,2,906.38,407.0,43,453.19
12681.0,12,8044.93,4502.0,201,670.4108333333334
12682.0,11,5277.29,2224.0,117,479.75363636363636
12683.0,9,4417.57,2608.0,118,490.8411111111111
12684.0,3,917.1,888.0,32,305.7
12686.0,1,89.14,107.0,7,89.14
12690.0,1,389.01,106.0,16,389.01
12691.0,3,406.2,151.0,13,135.4
12693.0,3,630.77,221.0,30,210.25666666666666
12695.0,1,89.25,33.0,6,89.25
12700.0,1,1092.43,779.0,62,1092.43
12701.0,1,337.08,246.0,21,337.08
12705.0,3,3164.1,1736.0,127,1054.7
12707.0,1,603.42,256.0,33,603.42
12708.0,5,1338.17,755.0,54,267.634
12709.0,8,5153.13,2062.0,73,644.14125
12710.0,1,718.96,386.0,44,718.96
12712.0,8,2267.48,622.0,48,283.435
12714.0,2,1761.92,1232.0,96,880.96
12717.0,1,609.74,262.0,31,609.74
12720.0,10,2341.77,1911.0,118,234.177
12721.0,3,1107.82,669.0,61,369.2733333333333
12724.0,1,154.9,115.0,11,154.9
12725.0,1,427.8,164.0,24,427.8
12726.0,4,1111.28,1497.0,35,277.82
12727.0,4,2007.32,1245.0,79,501.83
12728.0,3,617.31,256.0,29,205.76999999999998
12731.0,6,8230.09,4087.0,73,1371.6816666666666
12733.0,1,383.95,137.0,22,383.95
12734.0,1,110.39999999999999,88.0,4,110.39999999999999
12735.0,2,779.5699999999999,368.0,38,389.78499999999997
12736.0,1,234.0,173.0,4,234.0
12738.0,1,155.35,148.0,11,155.35
12744.0,4,10262.65,2480.0,96,2565.6625
12747.0,6,2091.4,708.0,33,348.5666666666666
12748.0,86,9550.78,5871.0,881,111.05558139534884
12749.0,1,859.1,262.0,43,859.1
12753.0,4,12940.51,7003.0,87,3235.1275
12754.0,3,3010.74,6481.0,49,1003.5799999999999
12755.0,2,3811.95,1491.0,4,1905.975
12757.0,5,4202.2300000000005,315.0,75,840.4460000000001
12758.0,1,1570.19,1109.0,56,1570.19
12759.0,1,444.8,277.0,27,444.8
12763.0,1,320.08,196.0,16,320.08
12764.0,1,1693.88,386.0,45,1693.88
12766.0,4,4015.71,1870.0,143,1003.9275
12769.0,1,1143.6,356.0,32,1143.6
12770.0,1,1351.45,743.0,12,1351.45
12775.0,4,1164.68,740.0,36,291.17
12778.0,3,408.06,373.0,24,136.02
12779.0,7,2999.41,1385.0,68,428.4871428571428
12781.0,1,549.26,346.0,15,549.26
12782.0,3,1562.95,604.0,57,520.9833333333333
12785.0,1,311.95,131.0,14,311.95
12787.0,1,158.1,65.0,8,158.1
12790.0,1,324.92,166.0,21,324.92
12791.0,1,192.60000000000002,97.0,2,192.60000000000002
12792.0,1,400.53999999999996,217.0,25,400.53999999999996
12793.0,2,545.48,295.0,21,272.74
12797.0,1,254.03,118.0,13,254.03
12808.0,1,129.4,53.0,7,129.4
12811.0,3,514.85,230.0,27,171.61666666666667
12815.0,1,615.36,239.0,31,615.36
12817.0,1,166.04,53.0,4,166.04
12818.0,1,1542.08,929.0,14,1542.08
12820.0,1,170.46,146.0,11,170.46
12821.0,1,92.72,70.0,6,92.72
12823.0,3,994.5,130.0,1,331.5
12826.0,3,697.1,613.0,45,232.36666666666667
12829.0,2,293.0,376.0,9,146.5
12831.0,1,215.05,135.0,9,215.05
12834.0,1,312.38,110.0,18,312.38
12836.0,2,1661.4,703.0,96,830.7
12838.0,1,390.79,228.0,59,390.79
12839.0,4,1395.89,936.0,47,348.9725
12840.0,2,1577.97,863.0,58,788.9849999999999
12841.0,12,1961.26,1235.0,131,163.43833333333333
12842.0,1,310.73,157.0,14,310.73
12843.0,3,627.06,303.0,37,209.01999999999998
12845.0,4,354.09,204.0,26,88.5225
12849.0,1,704.5,514.0,33,704.5
12852.0,1,311.55,149.0,17,311.55
12853.0,3,885.0,326.0,36,295.0
12854.0,2,810.37,422.0,71,405.185
12855.0,1,38.1,30.0,3,38.1
12857.0,2,1106.4,343.0,37,553.2
12866.0,1,559.12,171.0,26,559.12
12867.0,4,1738.54,2009.0,159,434.635
12868.0,5,1359.0,822.0,68,271.8
12871.0,1,132.0,80.0,4,132.0
12872.0,2,599.97,319.0,58,299.985
12873.0,1,374.0,128.0,4,374.0
12875.0,1,293.76000000000005,1728.0,1,293.76000000000005
12876.0,1,726.43,651.0,34,726.43
12877.0,7,682.0400000000001,388.0,21,97.43428571428572
12878.0,2,854.99,547.0,38,427.495
12881.0,1,298.0,21.0,7,298.0
12886.0,1,775.0,416.0,47,775.0
12888.0,2,354.12,76.0,4,177.06
12891.0,2,246.00000000000003,700.0,2,123.00000000000001
12897.0,2,216.5,110.0,3,108.25
12901.0,11,7785.56,8101.0,21,707.7781818181819
12902.0,1,138.68,66.0,10,138.68
12908.0,1,318.0,600.0,1,318.0
12909.0,3,1528.37,786.0,55,509.45666666666665
12910.0,3,1142.5,654.0,26,380.8333333333333
12913.0,3,866.39,345.0,12,288.7966666666667
12915.0,1,199.65,41.0,13,199.65
12916.0,3,2312.78,856.0,43,770.9266666666666
12921.0,13,5514.4400000000005,3486.0,133,424.18769230769226
12924.0,3,655.27,285.0,10,218.42333333333332
12928.0,2,780.04,486.0,35,390.02
12929.0,1,117.85,37.0,8,117.85
12931.0,7,3920.7,3270.0,5,560.1
12933.0,1,110.75,65.0,7,110.75
12935.0,2,866.23,628.0,42,433.115
12937.0,2,428.23,268.0,27,214.115
12939.0,3,7228.32,2824.0,20,2409.44
12942.0,2,396.52000000000004,104.0,23,198.26
12944.0,1,286.95,145.0,14,286.95
12945.0,1,462.95,165.0,23,462.95
12947.0,3,1035.27,897.0,62,345.09
12948.0,3,886.26,388.0,46,295.42
12949.0,3,2250.7,1279.0,108,750.2333333333332
12951.0,4,624.88,273.0,32,156.22000000000003
12955.0,3,697.42,548.0,27,232.47333333333333
12956.0,1,108.07,34.0,19,108.07
12957.0,3,1128.77,1028.0,70,376.25666666666666
12963.0,1,365.8,172.0,16,365.8
12967.0,2,1660.9,438.0,19,830.45
12970.0,2,23.8,8.0,8,11.899999999999999
12971.0,41,4859.34,3532.0,63,118.52048780487806
12974.0,1,144.8,24.0,8,144.8
12976.0,1,738.6,561.0,22,738.6
12980.0,7,5458.9800000000005,526.0,6,779.8542857142858
12982.0,1,390.54,288.0,28,390.54
12987.0,1,304.3,108.0,14,304.3
12988.0,1,535.32,136.0,75,535.32
12989.0,7,3327.94,1470.0,14,475.42
12990.0,1,97.5,50.0,3,97.5
12993.0,2,175.29999999999998,92.0,12,87.65
12994.0,1,352.6,166.0,22,352.6
12997.0,2,608.47,300.0,30,304.235
12999.0,3,455.88,342.0,25,151.96
13000.0,2,458.53000000000003,307.0,29,229.265
13001.0,9,7343.85,4170.0,147,815.9833333333333
13002.0,1,120.94999999999999,73.0,7,120.94999999999999
13003.0,1,59.050000000000004,31.0,4,59.050000000000004
13004.0,7,2448.02,2186.0,146,349.71714285714285
13005.0,1,321.65,135.0,18,321.65
13008.0,1,229.46999999999997,175.0,14,229.46999999999997
13011.0,1,50.550000000000004,13.0,3,50.550000000000004
13012.0,3,707.39,313.0,34,235.7966666666667
13013.0,4,2372.29,1234.0,100,593.0725
13014.0,3,1328.03,389.0,29,442.6766666666667
13015.0,4,1763.04,705.0,80,440.76
13018.0,11,3673.96,2662.0,192,333.99636363636364
13021.0,3,765.0,354.0,33,255.0
13026.0,2,243.71999999999997,348.0,5,121.85999999999999
13027.0,3,3840.0,9600.0,6,1280.0
13029.0,1,382.5,30.0,1,382.5
13030.0,1,427.74,204.0,50,427.74
13033.0,1,190.55,83.0,11,190.55
13034.0,1,165.86,116.0,11,165.86
13035.0,1,333.0,212.0,12,333.0
13037.0,2,577.32,294.0,32,288.65999999999997
13038.0,1,395.1,186.0,15,395.1
13043.0,1,516.42,254.0,13,516.42
13044.0,1,560.47,429.0,33,560.47
13046.0,1,197.72,76.0,14,197.72
13047.0,6,1671.68,681.0,60,278.61333333333334
13048.0,2,939.92,663.0,60,469.96000000000004
13049.0,1,153.78,78.0,7,153.78
13050.0,9,2873.96,1697.0,115,319.3288888888889
13052.0,1,348.15000000000003,222.0,18,348.15000000000003
13055.0,1,344.86,252.0,22,344.86
13059.0,1,183.4,35.0,8,183.4
13060.0,1,307.53,123.0,15,307.53
13062.0,1,346.98,343.0,11,346.98
13064.0,1,203.3,60.0,8,203.3
13065.0,1,205.86,74.0,14,205.86
13068.0,1,165.0,100.0,1,165.0
13069.0,15,2683.44,2442.0,203,178.89600000000002
13070.0,1,228.8,110.0,9,228.8
13072.0,1,177.15,69.0,7,177.15
13077.0,3,577.44,607.0,61,192.48000000000002
13078.0,10,4467.16,1440.0,67,446.716
13081.0,7,14463.51,9576.0,365,2066.2157142857145
13082.0,5,1960.18,2837.0,49,392.036
13085.0,1,278.1,172.0,13,278.1
13089.0,51,27939.94,14723.0,440,547.8419607843138
13090.0,7,3111.6,725.0,31,444.5142857142857
13092.0,4,439.75,95.0,15,109.9375
13093.0,8,7832.47,3961.0,97,979.05875
13094.0,8,1093.0800000000002,948.0,4,136.63500000000002
13097.0,5,3004.26,1263.0,140,600.8520000000001
13098.0,8,7203.61,3885.0,93,900.45125
13101.0,1,101.19,113.0,8,101.19
13102.0,15,3769.16,2499.0,95,251.27733333333333
13104.0,2,213.72,132.0,3,106.86
13107.0,1,566.84,468.0,21,566.84
13108.0,1,350.06,298.0,10,350.06
13110.0,3,732.49,205.0,65,244.16333333333333
13113.0,16,8856.16,2065.0,79,553.51
13117.0,6,751.37,611.0,55,125.22833333333334
13118.0,3,799.7,274.0,40,266.56666666666666
13120.0,1,30.599999999999998,12.0,1,30.599999999999998
13121.0,1,283.73,252.0,50,283.73
13122.0,1,903.67,537.0,54,903.67
13124.0,2,2574.12,1623.0,131,1287.06
13126.0,5,1077.42,1062.0,61,215.484
13131.0,1,324.9,128.0,14,324.9
13132.0,1,77.3,20.0,3,77.3
13133.0,2,109.8,32.0,7,54.900000000000006
13134.0,2,525.7,168.0,24,262.85
13135.0,1,3096.0,4300.0,1,3096.0
13136.0,1,574.46,276.0,30,574.46
13137.0,2,863.84,533.0,140,431.91999999999996
13138.0,2,386.85,197.0,20,193.425
13139.0,2,1170.02,458.0,34,585.01
13140.0,1,159.51,75.0,15,159.51
13141.0,4,1401.03,942.0,77,350.2575
13144.0,1,110.95,21.0,3,110.95
13145.0,1,295.0,1.0,1,295.0
13148.0,6,1798.33,838.0,134,299.72166666666664
13149.0,1,376.74,276.0,18,376.74
13151.0,1,1257.8700000000001,363.0,73,1257.8700000000001
13155.0,2,569.2,262.0,55,284.6
13157.0,2,497.94,474.0,21,248.97
13158.0,1,256.40999999999997,135.0,19,256.40999999999997
13161.0,1,112.75,29.0,8,112.75
13162.0,2,1301.69,1395.0,58,650.845
13165.0,1,354.64,496.0,13,354.64
13166.0,1,417.2,216.0,39,417.2
13168.0,3,972.66,557.0,94,324.21999999999997
13169.0,1,505.2,96.0,6,505.2
13171.0,1,140.35,53.0,23,140.35
13173.0,1,165.94,114.0,23,165.94
13174.0,2,2108.27,970.0,178,1054.135
13178.0,5,2719.2,1603.0,74,543.8399999999999
